Code,Title,Industry,Vertical,Canton,Spin-offs,City,Year,Highlights,Gender CEO,OOB,Funded,Comment
CHE-114.879.799,AIRLIGHT ENERGY,cleantech,,Ticino,,,2007.0,,,1.0,0.0,
CHE-112.184.054,Gatlik GmbH,biotech,,BS,Universität Basel,,2005.0,,,1.0,0.0,
CHE-410.994.227,KYC Exchange Net AG,ICT (fintech),,ZH,,,2013.0,,,1.0,0.0,
CHE-189.698.247,Luma7,ICT,,Wallis,,,2015.0,,,1.0,0.0,
CHE-151.310.411,Davos Diagnostics AG,medtech,,Graubünden,,,2011.0,,,1.0,0.0,in Liquidation
CHE-113.570.773,Consenda AG,ICT,,Bern,,,2008.0,,,1.0,0.0,
CHE-336.830.058,Sensiwall,consumer products,,Vaud,,,2016.0,,,1.0,0.0,
CHE-180.040.780,InVivoSwiss SA,biotech,,VD,EPFL,,2014.0,,,1.0,0.0,
CHE-459.415.104,FBO Internet SARL (Cardchange),consumer products,,Genève,,,2014.0,,,1.0,0.0,
CHE-279.546.582,ZURICH BIOMATERIALS GmbH,medtech,,ZH,"Universität Zürich, ETH",,2013.0,,,1.0,0.0,
CHE-468.765.023,Deldro AG. Delivery Drones.,micro / nano,,Zürich,,,2017.0,,Male,1.0,0.0,
CHE-391.996.643,Werthstein,ICT (fintech),,Zürich,,,2016.0,,,1.0,1.0,
CHE-201.857.501,Tootle Sàrl,ICT,,NE,,La Chaux-de-Fonds,2011.0,,,1.0,0.0,
CHE-114.586.162,Blueshift Pharma GmbH,consumer products,,ZH,,,2008.0,,,1.0,0.0,
CHE-347.659.573,Melonport AG,ICT (fintech),,Zug,,,2016.0,Top 100 Swiss Startup Award 2018,,1.0,0.0,
CHE-149.869.761,heyMia,,,Zürich,,,2022.0,,,0.0,0.0,
CHE-244.365.287,Octotronic AG,ICT,,Zürich,,,2020.0,,Male,0.0,0.0,
CHE-114.534.515,ArtOfBrands SA,ICT,,Genève,,,2011.0,,,1.0,0.0,
CHE-429.165.486,Cliris SA,micro / nano,,Vaud,,,2016.0,,,1.0,0.0,
CHE-335.257.943,Soonsy AG,ICT,,Zug,,,2016.0,,,1.0,0.0,
CHE-297.174.828,Gooquiz SARL,ICT,,Vaud,,,2012.0,,,1.0,0.0,
CHE-114.631.822,Antlia AG,micro / nano,,VD,EPFL,,2008.0,,,1.0,0.0,
CHE-114.609.277,beyounic SA,ICT,,Ticino,,,2008.0,,,1.0,0.0,
CHE-114.534.811,ConceptWorks GmbH (Spontacts),ICT,,ZH,,,2008.0,,Male,1.0,0.0,
CHE-114.727.528,INNOVARADIO SA,cleantech,,Genève,,,2009.0,,Male,1.0,0.0,
CHE-113.908.168,The Zene Capital GmbH,ICT (fintech),,Lucerne,,,2007.0,,,1.0,0.0,
CHE-425.970.968,Orion Vault AG,ICT (fintech),,ZG,,,2018.0,,Female,1.0,0.0,
CHE-399.032.387,Citiviz Sàrl,ICT,,Vaud,EPFL,Lausanne,2012.0,,,1.0,0.0,
CHE-229.022.153,Qwane Biosciences SA,biotech,,Vaud,,,2011.0,,,1.0,0.0,
CHE-110.627.477,Yalea Ltd,ICT,,Schwyz,,,2004.0,,,1.0,0.0,
CHE-450.185.754,Tend Technologies AG,ICT (fintech),,ZG,,,2017.0,,,1.0,0.0,
CHE-499.972.983,Lipidon AG,medtech,,Zürich,,,2018.0,,,1.0,0.0,
CHE-245.381.633,ADDFIN AG,ICT (fintech),,Zug,,,2014.0,,,1.0,0.0,
CHE-228.180.602,F ECTIVE AG,ICT,,Zürich,,,2016.0,,,1.0,0.0,
CHE-181.604.521,ezebee.com,ICT,,Zug,,,2013.0,,,1.0,0.0,
CHE-238.261.047,healthbank innovation AG,healthcare IT,,ZG,,,2015.0,,,1.0,0.0,
CHE-115.033.546,Vaxeal Holding SA,biotech,,VD,,,2009.0,,,1.0,0.0,
CHE-188.695.476,Ziboo Sàrl,ICT,,Vaud,,,2012.0,,,1.0,0.0,
CHE-113.581.110,ABO-Storage Distribution AG,ICT,,ZH,,,2007.0,,,1.0,0.0,
CHE-390.615.111,Sackstarch GmbH,consumer products,,Zürich,,,2012.0,,,1.0,0.0,
CHE-216.284.028,Audatic AI GmbH,ICT,,ZH,,,2018.0,,,1.0,0.0,
CHE-207.176.523,Skuani AG (TechOne Group),ICT,,Zürich,,,2015.0,,,1.0,0.0,
CHE-198.896.846,Tabrasco Microtechnics SA,ICT,,VD,,,2011.0,,,1.0,0.0,
CHE-173.087.865,Crypto Real Estate AG,ICT (fintech),,Zug,,,2017.0,"Top 100 Swiss Startup Award 2018, Top 100 Swiss Startup Award 2019",Male,1.0,0.0,
CHE-155.807.490,Dermolockin GmbH,medtech,,ZH,,,2014.0,,,1.0,0.0,
